pax,date
41552254,2000 Jan
43723560,2000 Feb
52983935,2000 Mar
50349474,2000 Apr
52320498,2000 May
54719105,2000 Jun
55614843,2000 Jul
54509427,2000 Aug
46393775,2000 Sep
50953020,2000 Oct
49653964,2000 Nov
47070138,2000 Dec
44104207,2001 Jan
43174266,2001 Feb
53052116,2001 Mar
50789871,2001 Apr
51117961,2001 May
53468680,2001 Jun
55799722,2001 Jul
56400030,2001 Aug
30542486,2001 Sep
40286769,2001 Oct
40687985,2001 Nov
40897117,2001 Dec
38552706,2002 Jan
38638651,2002 Feb
48495131,2002 Mar
45433209,2002 Apr
47122436,2002 May
49272591,2002 Jun
51251732,2002 Jul
51309631,2002 Aug
40270356,2002 Sep
48376268,2002 Oct
45183452,2002 Nov
50018456,2002 Dec
43347960,2003 Jan
41462750,2003 Feb
50385514,2003 Mar
47363884,2003 Apr
49411277,2003 May
52540214,2003 Jun
56142761,2003 Jul
54319804,2003 Aug
44574484,2003 Sep
50348364,2003 Oct
47454353,2003 Nov
50130242,2003 Dec
44205415,2004 Jan
45707437,2004 Feb
54622148,2004 Mar
53709842,2004 Apr
53388577,2004 May
57348632,2004 Jun
60061401,2004 Jul
57786949,2004 Aug
47997275,2004 Sep
54577954,2004 Oct
52056014,2004 Nov
52907394,2004 Dec
48232235,2005 Jan
47356006,2005 Feb
59194907,2005 Mar
55224120,2005 Apr
57589747,2005 May
60009883,2005 Jun
62720848,2005 Jul
59403149,2005 Aug
50850084,2005 Sep
54019391,2005 Oct
53011018,2005 Nov
53007696,2005 Dec
49064001,2006 Jan
47521242,2006 Feb
58519432,2006 Mar
56016625,2006 Apr
57308249,2006 May
59461687,2006 Jun
61010295,2006 Jul
58485736,2006 Aug
50159124,2006 Sep
55308353,2006 Oct
54066880,2006 Nov
53727020,2006 Dec
50197250,2007 Jan
47932856,2007 Feb
59464672,2007 Mar
57593560,2007 Apr
59458846,2007 May
61679916,2007 Jun
63642342,2007 Jul
62858548,2007 Aug
52538039,2007 Sep
57427062,2007 Oct
55256454,2007 Nov
53464036,2007 Dec
50411604,2008 Jan
50274266,2008 Feb
59385859,2008 Mar
55770624,2008 Apr
58198820,2008 May
59735324,2008 Jun
61574100,2008 Jul
59164291,2008 Aug
47882590,2008 Sep
53179338,2008 Oct
47839653,2008 Nov
50412128,2008 Dec
44980756,2009 Jan
43830890,2009 Feb
53721923,2009 Mar
52432558,2009 Apr
53122235,2009 May
56070878,2009 Jun
59635044,2009 Jul
56748993,2009 Aug
48466365,2009 Sep
52529406,2009 Oct
48801088,2009 Nov
49962469,2009 Dec
45687314,2010 Jan
42605690,2010 Feb
54635154,2010 Mar
52698113,2010 Apr
54033651,2010 May
56891348,2010 Jun
59348391,2010 Jul
57592898,2010 Aug
50562176,2010 Sep
55104250,2010 Oct
51677170,2010 Nov
51304345,2010 Dec
46503690,2011 Jan
43843621,2011 Feb
55897597,2011 Mar
53075148,2011 Apr
56176225,2011 May
57993227,2011 Jun
60547860,2011 Jul
57650745,2011 Aug
51267986,2011 Sep
54408002,2011 Oct
51918110,2011 Nov
51747098,2011 Dec
47260476,2012 Jan
46594573,2012 Feb
56421574,2012 Mar
53892306,2012 Apr
55930077,2012 May
58095340,2012 Jun
59871968,2012 Jul
58876270,2012 Aug
50389935,2012 Sep
54027151,2012 Oct
52068914,2012 Nov
51327992,2012 Dec
47987324,2013 Jan
45883578,2013 Feb
56742398,2013 Mar
53404499,2013 Apr
56741531,2013 May
58154340,2013 Jun
59480894,2013 Jul
58317105,2013 Aug
51007692,2013 Sep
54943291,2013 Oct
50751144,2013 Nov
54534282,2013 Dec
48148185,2014 Jan
45669341,2014 Feb
57972949,2014 Mar
55404365,2014 Apr
58046591,2014 May
59451600,2014 Jun
61928454,2014 Jul
59957824,2014 Aug
52762220,2014 Sep
57335405,2014 Oct
52805783,2014 Nov
55676788,2014 Dec
49893011,2015 Jan
47304028,2015 Feb
59727550,2015 Mar
57852776,2015 Apr
60415526,2015 May
61978397,2015 Jun
65297818,2015 Jul
62934772,2015 Aug
56217621,2015 Sep
61126457,2015 Oct
57352243,2015 Nov
58034130,2015 Dec
52627680,2016 Jan
51239165,2016 Feb
61741224,2016 Mar
59022702,2016 Apr
62892006,2016 May
64888873,2016 Jun
66267141,2016 Jul
63657765,2016 Aug
58864546,2016 Sep
61965797,2016 Oct
59489306,2016 Nov
59340470,2016 Dec
54275826,2017 Jan
51224188,2017 Feb
64152106,2017 Mar
61264374,2017 Apr
64608616,2017 May
66891060,2017 Jun
68701295,2017 Jul
66832931,2017 Aug
57390559,2017 Sep
64886322,2017 Oct
62136004,2017 Nov
61568526,2017 Dec
55984998,2018 Jan
54235310,2018 Feb
66832122,2018 Mar
64719324,2018 Apr
68004689,2018 May
70419057,2018 Jun
72666380,2018 Jul
70494121,2018 Aug
60679542,2018 Sep
67302981,2018 Oct
64900701,2018 Nov
63795138,2018 Dec
58196814,2019 Jan
55827484,2019 Feb
70414635,2019 Mar
67101551,2019 Apr
71530247,2019 May
72928496,2019 Jun
75430080,2019 Jul
72920074,2019 Aug
64245929,2019 Sep
70209491,2019 Oct
65113810,2019 Nov
69970013,2019 Dec
