Period,Value
Jan-1963,42
Feb-1963,35
Mar-1963,44
Apr-1963,52
May-1963,58
Jun-1963,48
Jul-1963,62
Aug-1963,56
Sep-1963,49
Oct-1963,44
Nov-1963,39
Dec-1963,31
Jan-1964,39
Feb-1964,46
Mar-1964,53
Apr-1964,49
May-1964,52
Jun-1964,53
Jul-1964,54
Aug-1964,56
Sep-1964,48
Oct-1964,45
Nov-1964,37
Dec-1964,33
Jan-1965,38
Feb-1965,44
Mar-1965,53
Apr-1965,49
May-1965,54
Jun-1965,57
Jul-1965,51
Aug-1965,58
Sep-1965,48
Oct-1965,44
Nov-1965,42
Dec-1965,37
Jan-1966,42
Feb-1966,43
Mar-1966,53
Apr-1966,49
May-1966,49
Jun-1966,40
Jul-1966,40
Aug-1966,36
Sep-1966,29
Oct-1966,31
Nov-1966,26
Dec-1966,23
Jan-1967,29
Feb-1967,32
Mar-1967,41
Apr-1967,44
May-1967,49
Jun-1967,47
Jul-1967,46
Aug-1967,47
Sep-1967,43
Oct-1967,45
Nov-1967,34
Dec-1967,31
Jan-1968,35
Feb-1968,43
Mar-1968,46
Apr-1968,46
May-1968,43
Jun-1968,41
Jul-1968,44
Aug-1968,47
Sep-1968,41
Oct-1968,40
Nov-1968,32
Dec-1968,32
Jan-1969,34
Feb-1969,40
Mar-1969,43
Apr-1969,42
May-1969,43
Jun-1969,44
Jul-1969,39
Aug-1969,40
Sep-1969,33
Oct-1969,32
Nov-1969,31
Dec-1969,28
Jan-1970,34
Feb-1970,29
Mar-1970,36
Apr-1970,42
May-1970,43
Jun-1970,44
Jul-1970,44
Aug-1970,48
Sep-1970,45
Oct-1970,44
Nov-1970,40
Dec-1970,37
Jan-1971,45
Feb-1971,49
Mar-1971,62
Apr-1971,62
May-1971,58
Jun-1971,59
Jul-1971,64
Aug-1971,62
Sep-1971,50
Oct-1971,52
Nov-1971,50
Dec-1971,44
Jan-1972,51
Feb-1972,56
Mar-1972,60
Apr-1972,65
May-1972,64
Jun-1972,63
Jul-1972,63
Aug-1972,72
Sep-1972,61
Oct-1972,65
Nov-1972,51
Dec-1972,47
Jan-1973,55
Feb-1973,60
Mar-1973,68
Apr-1973,63
May-1973,65
Jun-1973,61
Jul-1973,54
Aug-1973,52
Sep-1973,46
Oct-1973,42
Nov-1973,37
Dec-1973,30
Jan-1974,37
Feb-1974,44
Mar-1974,55
Apr-1974,53
May-1974,58
Jun-1974,50
Jul-1974,48
Aug-1974,45
Sep-1974,41
Oct-1974,34
Nov-1974,30
Dec-1974,24
Jan-1975,29
Feb-1975,34
Mar-1975,44
Apr-1975,54
May-1975,57
Jun-1975,51
Jul-1975,51
Aug-1975,53
Sep-1975,46
Oct-1975,46
Nov-1975,46
Dec-1975,39
Jan-1976,41
Feb-1976,53
Mar-1976,55
Apr-1976,62
May-1976,55
Jun-1976,56
Jul-1976,57
Aug-1976,59
Sep-1976,58
Oct-1976,55
Nov-1976,49
Dec-1976,47
Jan-1977,57
Feb-1977,68
Mar-1977,84
Apr-1977,81
