date,wind,solar
23-Apr,42847.90527,21828.34678
23-Mar,44355.41789,18378.70249
23-Feb,42014.64772,13793.61521
23-Jan,39075.56088,12157.24053
22-Dec,39282.36741,10533.92877
22-Nov,41826.24681,12336.27439
22-Oct,32824.49128,17041.81706
22-Sep,27031.99474,18785.90551
22-Aug,24354.65788,20351.71528
22-Jul,29302.23022,21906.84005
22-Jun,33482.6975,21998.1736
22-May,41667.50913,21144.59812
22-Apr,45960.4019,18884.58478
22-Mar,43014.32896,16798.14342
22-Feb,37984.32481,12909.68662
22-Jan,38080.39835,11418.15516
21-Dec,39849.02762,9061.0693
21-Nov,35751.09063,11054.16073
21-Oct,32215.11144,13088.99226
21-Sep,28997.8029,15584.01297
21-Aug,27071.12204,16891.19396
21-Jul,21715.55151,17384.07738
21-Jun,26671.53368,17303.9438
21-May,33786.50791,17519.84666
21-Apr,36157.80676,15502.04998
21-Mar,39205.24802,13454.48883
21-Feb,26715.50092,9269.54941
21-Jan,30060.4714,8309.06463
20-Dec,32010.64517,7580.39219
20-Nov,33129.4051,8453.28574
20-Oct,28822.66268,10395.32693
20-Sep,23185.97755,11453.82366
20-Aug,23029.3319,13513.9375
20-Jul,22866.19821,15015.04895
20-Jun,30212.40523,13923.04582
20-May,28377.50536,13920.70376
20-Apr,29752.22898,11736.47773
20-Mar,29319.78293,9773.50166
20-Feb,29110.49454,8184.13587
20-Jan,28121.41138,6771.41485
19-Dec,26643.83983,5499.8331
19-Nov,25184.35888,6591.54593
19-Oct,27624.5193,8925.99468
19-Sep,24513.46786,10022.19806
19-Aug,19978.03073,11487.90701
19-Jul,22100.72207,11892.78073
19-Jun,22445.97049,11575.14488
19-May,25779.38696,10710.6803
19-Apr,28915.30603,9997.2463
19-Mar,25772.67842,8812.88461
19-Feb,22622.75342,5894.64724
19-Jan,24301.4495,5483.40662
18-Dec,24306.28369,4884.51281
18-Nov,22015.7339,5648.04713
18-Oct,21193.89801,7361.46637
18-Sep,18519.67063,8635.23462
18-Aug,19846.43699,9712.3077
18-Jul,16446.57439,9901.29598
18-Jun,24702.85593,10473.77801
18-May,23953.12766,9860.22196
18-Apr,26430.85718,8796.43825
18-Mar,26463.70391,7490.19618
18-Feb,23189.48924,5662.7551
18-Jan,25598.8222,4938.335
17-Dec,22200.68098,4506.85847
17-Nov,22614.8668,4769.85448
